,fips,County,Year,Citizens,State
319,48501,Yoakum County,2006,7657,Texas
320,48503,Young County,2006,18278,Texas
321,48505,Zapata County,2006,13243,Texas
322,48507,Zavala County,2006,11664,Texas
324,53001,Adams County,2006,17807,Washington
325,53003,Asotin County,2006,21195,Washington
326,53005,Benton County,2006,162090,Washington
327,53007,Chelan County,2006,70120,Washington
328,53009,Clallam County,2006,68515,Washington
329,53011,Clark County,2006,393310,Washington
330,53013,Columbia County,2006,4072,Washington
331,53015,Cowlitz County,2006,98622,Washington
332,53017,Douglas County,2006,36091,Washington
333,53019,Ferry County,2006,7437,Washington
334,53021,Franklin County,2006,66649,Washington
335,53023,Garfield County,2006,2318,Washington
336,53025,Grant County,2006,83360,Washington
337,53027,Grays Harbor County,2006,70535,Washington
338,53029,Island County,2006,75733,Washington
339,53031,Jefferson County,2006,28443,Washington
340,53033,King County,2006,1853605,Washington
341,53035,Kitsap County,2006,243478,Washington
342,53037,Kittitas County,2006,37893,Washington
343,53039,Klickitat County,2006,19858,Washington
344,53041,Lewis County,2006,72708,Washington
345,53043,Lincoln County,2006,10411,Washington
346,53045,Mason County,2006,56192,Washington
347,53047,Okanogan County,2006,40497,Washington
348,53049,Pacific County,2006,20943,Washington
349,53051,Pend Oreille County,2006,12483,Washington
350,53053,Pierce County,2006,757456,Washington
351,53055,San Juan County,2006,15082,Washington
352,53057,Skagit County,2006,111342,Washington
353,53059,Skamania County,2006,10592,Washington
354,53061,Snohomish County,2006,670394,Washington
355,53063,Spokane County,2006,449924,Washington
356,53065,Stevens County,2006,42146,Washington
357,53067,Thurston County,2006,234312,Washington
358,53069,Wahkiakum County,2006,3917,Washington
359,53071,Walla Walla County,2006,57339,Washington
360,53073,Whatcom County,2006,187416,Washington
361,53075,Whitman County,2006,43163,Washington
362,53077,Yakima County,2006,234975,Washington
364,12001,Alachua County,2007,238525,Florida
365,12003,Baker County,2007,25657,Florida
366,12005,Bay County,2007,162677,Florida
367,12007,Bradford County,2007,27792,Florida
368,12009,Brevard County,2007,523250,Florida
369,12011,Broward County,2007,1710594,Florida
370,12013,Calhoun County,2007,14138,Florida
371,12015,Charlotte County,2007,154460,Florida
372,12017,Citrus County,2007,134292,Florida
373,12019,Clay County,2007,175841,Florida
374,12021,Collier County,2007,300488,Florida
375,12023,Columbia County,2007,64192,Florida
376,12027,DeSoto County,2007,34064,Florida
377,12029,Dixie County,2007,15622,Florida
378,12031,Duval County,2007,838655,Florida
379,12033,Escambia County,2007,296658,Florida
380,12035,Flagler County,2007,81937,Florida
381,12037,Franklin County,2007,11032,Florida
