Year,State Population,County Name,State Abbreviation,County Population,BUYER_MME
2006,17675777,ALACHUA,FL,235586,82596.61868772545
2006,17675777,BAKER,FL,25171,11900.17863750001
2006,17675777,BAY,FL,160618,61998.102472075334
2006,17675777,BRADFORD,FL,27548,13424.830894900015
2006,17675777,BREVARD,FL,516541,201186.1534030777
2006,17675777,BROWARD,FL,1698076,1222607.3896560902
2006,17675777,CALHOUN,FL,13974,1851.9058229999996
2006,17675777,CHARLOTTE,FL,152624,82123.59715793793
2006,17675777,CITRUS,FL,131978,49646.89102933754
2006,17675777,CLAY,FL,170836,69327.2899772003
2006,17675777,COLLIER,FL,293478,107528.68073415094
2006,17675777,COLUMBIA,FL,63079,27550.68170858753
2006,17675777,DESOTO,FL,33800,7179.580011499999
2006,17675777,DIXIE,FL,15354,2952.7461249999997
2006,17675777,DUVAL,FL,830118,293452.9754726703
2006,17675777,ESCAMBIA,FL,296335,96186.44732701319
2006,17675777,FLAGLER,FL,77346,21015.019383675044
2006,17675777,FRANKLIN,FL,10859,2174.577223
2006,17675777,GADSDEN,FL,46655,6021.017100224995
2006,17675777,GILCHRIST,FL,15935,4032.60595
2006,17675777,GLADES,FL,11941,0.0
2006,17675777,GULF,FL,15334,3543.341615999999
2006,17675777,HAMILTON,FL,14209,1804.8995505
2006,17675777,HARDEE,FL,27382,3682.568104999998
2006,17675777,HENDRY,FL,37960,16527.160282500015
2006,17675777,HERNANDO,FL,155983,78727.92757445051
2006,17675777,HIGHLANDS,FL,94231,22995.715222500025
2006,17675777,HILLSBOROUGH,FL,1137102,1027723.7849871983
2006,17675777,HOLMES,FL,19380,5115.280069999995
2006,17675777,INDIAN RIVER,FL,127967,43237.351081762514
2006,17675777,JACKSON,FL,48569,9866.875337500009
2006,17675777,JEFFERSON,FL,14004,1465.4849205000003
2006,17675777,LAFAYETTE,FL,8129,1215.701375
2006,17675777,LAKE,FL,262396,64563.41932242543
2006,17675777,LEE,FL,547614,309886.70674428047
2006,17675777,LEON,FL,261097,43067.63904172506
2006,17675777,LEVY,FL,38258,18659.65354300001
2006,17675777,LIBERTY,FL,7821,628.4498325000002
2006,17675777,MADISON,FL,19026,2315.6333313624996
2006,17675777,MANATEE,FL,299324,150205.64369561453
2006,17675777,MARION,FL,302331,114208.97585438893
2006,17675777,MARTIN,FL,138825,68573.1287873627
2006,17675777,MIAMI-DADE,FL,2400325,303039.71808595717
2006,17675777,MONROE,FL,75696,42203.18011572499
2006,17675777,NASSAU,FL,67041,26318.17944131252
2006,17675777,OKALOOSA,FL,176700,51768.8785417501
2006,17675777,OKEECHOBEE,FL,38347,20628.537535312524
2006,17675777,ORANGE,FL,1046021,249616.18134774387
2006,17675777,OSCEOLA,FL,230216,50817.72196881255
2006,17675777,PALM BEACH,FL,1244559,645319.179489853
2006,17675777,PASCO,FL,416719,268426.0533706659
2006,17675777,PINELLAS,FL,918680,607000.7514848216
2006,17675777,POLK,FL,554814,178941.7804374279
2006,17675777,PUTNAM,FL,72788,38637.50297338753
